-1,ed2327d7-0ffc-47c2-9469-9b5f01886f03(10.0.0.2),ed2327d7-0ffc-47c2-9469-9b5f01886f03(fc00::2),02efadf4-5533-4585-a51e-5ee3c40bb100(10.0.0.14),02efadf4-5533-4585-a51e-5ee3c40bb100(fc00::e),a16bb352-9891-4038-abe7-d64cc36c5b7e(10.0.0.12),a16bb352-9891-4038-abe7-d64cc36c5b7e(fc00::c),69c33fa8-2fff-40a3-8820-8bb171cf6c2f(fc00::6),3b27433b-66c5-4585-83b5-12dd0c7bcad2(10.0.0.8),3b27433b-66c5-4585-83b5-12dd0c7bcad2(fc00::8),9f7b5a24-e33e-4c7a-8f71-41c2bd58607c(10.0.0.10),9f7b5a24-e33e-4c7a-8f71-41c2bd58607c(fc00::a),1282b191-dfe6-454b-b11e-dd5fadae0787(10.0.0.18),1282b191-dfe6-454b-b11e-dd5fadae0787(fc00::12),45af6f7c-ca8d-47d9-bf21-994d5cd61a27(10.0.0.16),45af6f7c-ca8d-47d9-bf21-994d5cd61a27(fc00::10),22942d46-de9d-4ab1-96ad-581cac7604f6(10.0.0.0),22942d46-de9d-4ab1-96ad-581cac7604f6(fc00::),918e5e56-1145-4418-a208-792770432c57(10.0.0.4),918e5e56-1145-4418-a208-792770432c57(fc00::4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,52,17,25,6,8,51,15,67,100,15,6,7,15,12,18,16,48,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,52,18,26,6,10,47,15,76,97,17,5,5,25,12,33,13,35,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,25,20,38,6,12,41,8,80,102,32,6,5,18,11,21,13,47,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,23,20,44,20,22,35,13,82,95,31,5,5,26,5,23,8,41,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,22,21,58,15,16,51,15,73,100,21,5,6,18,13,36,13,41,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,22,21,53,15,18,41,13,75,103,28,5,7,20,15,37,12,38,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,16,22,32,10,18,42,13,63,125,48,6,3,13,3,40,15,40,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,20,20,18,5,11,28,16,63,150,53,5,5,20,8,26,13,45,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,21,18,41,13,11,30,18,76,142,32,5,8,20,6,15,15,48,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,20,20,51,11,11,36,15,77,127,18,5,6,22,5,15,16,50,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,20,22,27,5,11,22,16,73,121,35,10,2,17,12,15,15,53,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,20,17,23,5,12,40,17,72,107,56,15,5,30,6,17,16,38,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,20,17,22,6,21,42,13,63,113,50,15,10,26,5,37,16,22,18,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,20,18,32,6,13,40,8,77,87,50,17,8,26,5,35,17,21,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,21,17,30,10,16,28,26,81,101,52,15,10,28,6,30,22,20,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,20,16,26,13,17,26,31,41,101,52,16,17,21,18,31,20,35,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,15,15,31,11,15,23,28,28,86,52,13,13,16,16,23,28,38,27,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,17,15,30,12,16,33,16,91,71,50,15,15,17,13,20,31,40,31,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,16,8,37,8,21,33,23,106,72,47,8,17,13,17,12,26,45,27,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,18,13,41,5,12,46,22,106,67,38,13,15,15,21,23,26,37,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,21,13,50,6,25,41,26,105,77,27,5,13,20,25,16,26,36,25,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,21,15,61,11,12,30,26,105,76,21,3,25,15,8,11,26,40,27,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,41,12,46,5,12,31,26,105,100,17,3,20,15,10,16,26,35,26,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,47,17,41,6,10,32,27,140,125,16,3,26,22,8,12,25,32,28,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,57,17,26,13,10,38,25,148,130,21,5,23,33,8,8,25,26,25,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,51,15,16,13,12,40,28,147,132,36,3,18,21,10,12,28,41,27,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,55,17,18,8,25,31,12,148,113,27,8,18,13,18,20,27,40,25,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,43,17,20,6,20,27,8,150,100,28,16,13,13,26,20,31,32,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,45,17,23,7,8,76,8,148,128,38,17,15,12,21,23,27,31,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,50,21,18,12,12,81,17,150,135,38,21,15,12,20,15,27,31,26,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
