0,4d1fc19a-57eb-49af-9120-8236068baba7,6969aea2-5ce9-48bf-b8fa-4fbbed307391,019de447-a77c-4bf2-b24c-43d9328f5d27,dc538101-5e9c-4da8-8158-ed33aff8fd00,9d91d5a6-b530-4df3-948d-cd17d758753b,5d7b42cf-277d-4236-9ac7-1caac2a98739,a16269a4-e7c1-41ef-86fa-73e1ffc5b82e,6f8f5ad1-8db0-405a-800d-be4ff6d258e0,a9919787-502d-4bbc-8e18-73005e6841a9,5309b2ec-049f-47d2-81d1-32c8bc4b341b,247dfd92-c285-49ba-820a-82598722a33a,53aa8499-5253-4745-99fc-70d28456c0eb,5dfc8ef8-7c8e-424b-8963-0661f5be6fdb,248fc774-2e1a-4ccf-aebf-89caf86b4cb9,56f574fc-f708-4b49-9268-e68c58ab4203,e5d23b9d-679d-4adf-a319-be7e547fd561,34350ddb-3af9-4e8f-b809-a69ea0ac24e2,7b306fe2-ee31-4a41-ae71-fd404a2c670a,14eea4de-3d76-4fb6-94c3-a0ee1a61ef25,d041a6bc-9537-4a0d-b998-546ebd9c49d7,11c068a8-7498-41dd-b86c-a97135acfc8e,be2182ed-6b76-4888-98df-bd4a00f31a53,,,,,,,,,,,,,,,,,,,,,
11,6.0107 ,9.7120 ,11.0296 ,11.2965 ,5.6699 ,9.5792 ,10.1089 ,2.8344 ,9.9237 ,9.4239 ,7.4583 ,.4753 ,6.8401 ,10.3421 ,8.7936 ,9.6735 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8.2106 ,2.7775 ,.9381 ,1.5853 ,9.1718 ,9.6612 ,2.9208 ,4.6931 ,9.7697 ,8.1172 ,8.5504 ,1.1133 ,9.5909 ,10.9192 ,10.0805 ,11.8202 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5.0405 ,.2128 ,5.8195 ,8.5821 ,10.3349 ,3.9186 ,2.4891 ,.8836 ,3.5722 ,8.9611 ,.2520 ,4.4793 ,1.3982 ,8.4639 ,7.6944 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7.6083 ,1.6572 ,7.3092 ,9.0492 ,9.3814 ,6.7241 ,5.0745 ,3.8149 ,5.7312 ,9.7266 ,1.7998 ,4.7483 ,2.0281 ,8.7997 ,8.0612 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7.5905 ,10.7679 ,8.7191 ,7.3755 ,8.7905 ,7.5184 ,5.6545 ,10.3039 ,8.7185 ,.7755 ,5.7699 ,.6608 ,9.3875 ,8.1450 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9.0434 ,2.3123 ,7.8034 ,9.8067 ,.9724 ,10.0841 ,8.5449 ,7.6073 ,9.3924 ,.7964 ,5.7719 ,2.6655 ,.9444 ,8.1236 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10.1838 ,8.0591 ,9.6135 ,.0936 ,8.8774 ,10.0313 ,6.6700 ,4.9472 ,2.9701 ,3.7216 ,8.7212 ,10.5589 ,8.1239 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11.1701 ,9.4455 ,10.4830 ,9.0825 ,10.3116 ,.7490 ,.2271 ,6.1564 ,3.0859 ,1.2909 ,10.4314 ,10.9721 ,10.1257 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5.9666 ,9.2866 ,9.9380 ,9.5338 ,.3630 ,8.3313 ,9.0961 ,7.5236 ,4.0424 ,10.3010 ,10.1631 ,.1827 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6.8595 ,.8110 ,9.0448 ,10.5321 ,11.4012 ,8.9909 ,.2173 ,10.0488 ,3.1229 ,.4013 ,8.7073 ,9.8861 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9.7623 ,7.5179 ,4.7839 ,3.6918 ,2.6046 ,.1225 ,9.3049 ,2.5557 ,10.8345 ,7.8214 ,8.2892 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,.7119 ,10.3392 ,6.4770 ,6.9142 ,5.3799 ,1.6095 ,10.8044 ,1.5739 ,9.3572 ,9.8328 ,9.0453 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,8.1935 ,6.5512 ,.6658 ,5.5429 ,8.9191 ,10.6693 ,6.6605 ,8.9539 ,8.9258 ,.7451 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,9.9706 ,7.7578 ,.2955 ,8.5727 ,8.1759 ,1.5975 ,8.0309 ,9.9236 ,9.7169 ,.8766 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.5975 ,8.5109 ,1.7483 ,2.7096 ,1.0755 ,4.5103 ,9.1029 ,8.5664 ,9.2080 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3.9588 ,9.1350 ,3.3276 ,4.7085 ,.4338 ,3.5481 ,.3536 ,9.9949 ,.4265 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,8.1047 ,7.0796 ,1.8502 ,4.8272 ,1.9495 ,8.0049 ,3.2988 ,5.6038 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,8.9175 ,8.0028 ,2.5080 ,5.1397 ,3.9366 ,9.6573 ,4.9454 ,7.9914 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2.5898 ,.1603 ,9.4126 ,10.8577 ,4.5948 ,1.7784 ,8.4745 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,5.3665 ,1.8899 ,1.4261 ,.4015 ,5.0063 ,9.1311 ,4.5677 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2.9196 ,8.8073 ,7.7642 ,8.7164 ,10.5600 ,4.6805 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,.3533 ,7.9206 ,10.6272 ,9.1679 ,9.1281 ,5.0981 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,9.2408 ,4.8600 ,7.6136 ,8.0701 ,.6580 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,8.3379 ,5.9272 ,9.2396 ,8.1318 ,2.8698 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4.5406 ,5.8873 ,12.1677 ,9.5166 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4.7200 ,8.5503 ,10.1307 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3.7985 ,9.4499 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,5.5864 ,1.8730 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,8.1964 ,6.5302 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,9.3828 ,9.0468 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3.6994 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,5.6748 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
