0,cf72917a-e519-422b-bbf6-e73705342ed7,d7b11c8a-eea3-447f-8a48-23e0703ef8e4,5df643cf-739c-4aa9-b11e-29a236973908,a924b51b-03b5-4f1c-b656-70671b31e63b,e482d1e5-17b1-42d0-8b0f-47890a23f77a,9d0743ce-451b-4b84-96b5-791c8f28ec87,93b65b8f-c1a5-4dbe-897d-f997e4a8e812,fd0f6381-bfd4-49a5-b318-32db619dc018,2f626b70-4403-4141-a94d-3e26722c605e,4eff59f5-39f8-4c0e-9a7b-f3ade41091e3,004ecaf0-f56f-4d68-ad0e-317a00ec9750,ff627a9a-c922-4f6a-8f79-6ab9d8c39145,22c11a8f-6321-48ad-a9eb-2da39d478f05,52de094a-30c7-4ce3-bcfe-101c7df03e3a,1672f349-2dd3-4bbe-ab8c-9381b5480b7a,71f31b43-2240-4cdd-bf73-566afc6329f2,a37fffae-27dc-4a7f-9cac-aac98e6c449a,070b7a0d-ec98-464b-b3f4-2d1842e0ecfe,d6b4de57-cff0-45b6-a247-924272707844,6285b1cb-cb1d-4bc7-8a99-743285fdfe5d,713f1861-5a1c-4ea4-b580-263eb8353dba,71042f86-809b-4509-ac8f-0e382f744275,1b546006-7ca6-4dd0-9c8f-2eb7c0913335,c5925702-ea74-49c1-af15-59f3d1400756,,,,,,,,,,,,,,,,,,,
11,10.9179 ,6.1587 ,7.8839 ,9.7811 ,11.0369 ,8.8525 ,1.7196 ,8.0357 ,4.4162 ,.1313 ,3.8681 ,9.5491 ,9.5384 ,9.7929 ,6.2156 ,.2927 ,9.0645 ,6.0599 ,,,,,,,,,,,,,,,,,,,,,,,,,
12,8.3469 ,8.6289 ,9.8828 ,.2331 ,10.6293 ,8.6558 ,2.8904 ,4.9938 ,6.6677 ,9.5218 ,4.5009 ,.7866 ,.0941 ,9.8265 ,5.1069 ,.1791 ,.1510 ,9.4441 ,,,,,,,,,,,,,,,,,,,,,,,,,
13,3.7214 ,9.5116 ,10.8673 ,4.8398 ,2.5017 ,9.7665 ,1.8112 ,10.4255 ,1.5596 ,1.3588 ,3.4661 ,1.6909 ,9.1478 ,2.9862 ,1.9527 ,.5706 ,.4603 ,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5.5092 ,8.5805 ,.1986 ,6.4477 ,3.8459 ,.1783 ,.5447 ,1.7584 ,2.8649 ,1.8592 ,5.0654 ,.7204 ,9.7466 ,3.7325 ,1.6175 ,3.2486 ,2.7755 ,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9.9693 ,2.0155 ,.1878 ,10.4179 ,4.7674 ,10.1101 ,7.9350 ,2.4952 ,6.0814 ,3.5093 ,9.9137 ,.3471 ,1.9157 ,2.2572 ,1.3957 ,7.5942 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,.1851 ,8.9904 ,.1863 ,10.8901 ,2.9406 ,.2777 ,.0893 ,.2298 ,5.8854 ,2.5322 ,.1861 ,9.8233 ,.6867 ,2.8821 ,1.8834 ,9.3343 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9.8416 ,14.5797 ,2.9148 ,10.1315 ,5.4563 ,10.2297 ,7.6825 ,5.4049 ,1.7509 ,8.6489 ,9.4079 ,5.2239 ,.9895 ,9.9007 ,9.5948 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11.0346 ,9.6080 ,2.0339 ,1.4099 ,7.8109 ,.6307 ,9.3771 ,6.1498 ,2.7812 ,9.6451 ,10.0942 ,8.5198 ,10.6929 ,.5393 ,10.1033 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.6490 ,9.8441 ,1.5525 ,8.3680 ,4.3653 ,3.5119 ,5.5209 ,8.8765 ,.4181 ,9.3417 ,8.2921 ,.4877 ,4.9308 ,1.8587 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.6512 ,.4429 ,.4776 ,.1899 ,4.5397 ,5.2681 ,8.5508 ,.1792 ,8.5891 ,9.8005 ,1.3533 ,.4638 ,7.9196 ,3.7527 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,.3716 ,4.7191 ,9.0377 ,4.9048 ,9.6775 ,4.4679 ,3.3765 ,.2321 ,9.2303 ,2.8040 ,4.8611 ,3.8897 ,7.3315 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2.2685 ,6.8874 ,.6225 ,7.0361 ,1.5278 ,5.6302 ,5.1447 ,8.5644 ,8.7694 ,5.1779 ,8.8711 ,3.9731 ,.5686 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,5.9421 ,2.7093 ,10.3689 ,2.4222 ,9.7611 ,4.8538 ,7.7548 ,10.4456 ,8.4513 ,4.2831 ,9.8427 ,.4758 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,8.1019 ,2.6819 ,2.8135 ,2.4826 ,9.8914 ,8.3393 ,10.0432 ,9.0935 ,.9612 ,4.7898 ,10.1859 ,3.6595 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10.3898 ,.5333 ,.2329 ,3.6814 ,8.5476 ,1.8836 ,2.0650 ,2.9150 ,3.2956 ,10.6355 ,4.1028 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,.6522 ,3.3407 ,1.4322 ,3.6824 ,9.2464 ,4.3801 ,1.7082 ,4.7476 ,4.5898 ,9.7722 ,5.1929 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2.6860 ,11.4649 ,6.6551 ,8.2508 ,9.6236 ,9.8580 ,11.0159 ,8.7392 ,9.9140 ,10.8068 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2.5230 ,2.5877 ,8.4195 ,10.5828 ,8.6960 ,9.8251 ,1.9781 ,.1152 ,10.1272 ,1.7095 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,8.8136 ,.2712 ,10.8565 ,8.2949 ,10.6904 ,2.7190 ,.3628 ,10.1573 ,6.8838 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,.1554 ,10.6489 ,10.3279 ,.2313 ,3.2068 ,2.0899 ,2.5010 ,.6584 ,8.9275 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,.7239 ,9.6743 ,5.7029 ,8.6591 ,5.0303 ,4.3679 ,.7048 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.4321 ,.1899 ,8.5160 ,10.2309 ,8.2428 ,8.0686 ,10.0415 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,.6333 ,.3899 ,9.6763 ,9.8504 ,1.3402 ,1.8469 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.5216 ,.1877 ,.3502 ,.7928 ,2.3839 ,.7522 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,.2302 ,14.3444 ,10.7973 ,3.7369 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.7055 ,1.8249 ,.3893 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.1509 ,.9841 ,3.4126 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9.6560 ,.3782 ,6.8914 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,8.9815 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,9.0399 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5.9065 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,9.9699 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
